sec,value
539,45
540,46
541,45
542,44
543,45
544,44
545,45
546,46
547,45
548,44
549,45
550,45
551,44
552,43
553,44
554,44
555,47
556,46
557,44
558,43
559,44
560,44
561,45
562,44
563,44
564,45
565,45
566,45
567,44
568,45
569,44
570,44
571,45
572,44
573,44
574,44
575,44
576,44
577,45
578,44
579,43
580,44
581,45
582,46
583,45
584,44
585,45
586,44
587,45
588,44
589,44
590,45
591,45
592,46
593,44
594,44
595,45
596,45
597,44
598,43
599,44
600,45
601,44
602,43
603,43
604,44
605,45
606,44
607,43
608,43
609,44
610,44
611,45
612,44
613,43
614,43
615,44
616,45
617,45
618,44
619,43
620,43
621,44
622,43
623,44
624,44
625,44
626,44
627,43
628,43
629,44
630,44
631,45
632,44
633,43
634,44
635,43
636,43
637,43
638,43
639,44
640,43
641,43
642,43
643,43
644,44
645,46
646,45
647,44
648,43
649,43
650,43
651,43
652,44
653,44
654,43
655,46
656,49
657,50
658,62
659,66
660,66
661,70
662,74
663,69
664,60
665,53
666,48
667,46
668,45
669,44
670,43
671,44
672,46
673,44
674,43
675,43
676,43
677,45
678,44
679,43
680,43
681,46
682,48
683,53
684,54
685,54
686,54
687,54
688,54
689,54
690,54
691,54
692,54
693,55
694,57
695,56
696,55
697,54
698,55
699,58
700,65
701,66
702,66
703,66
704,65
705,61
706,58
707,54
708,51
709,50
710,49
711,48
712,49
713,49
714,50
715,50
716,50
717,49
718,49
719,48
720,47
721,46
722,45
723,46
724,45
725,46
726,45
727,44
728,45
729,46
730,47
731,48
732,49
733,50
734,52
735,49
736,47
737,45
738,46
739,47
740,48
741,47
742,48
743,49
744,49
745,48
746,48
747,47
748,46
749,44
750,44
751,44
752,51
753,52
754,50
755,49
756,48
757,48
758,48
759,47
760,47
761,48
762,50
763,49
764,48
765,47
766,46
767,45
768,47
769,48
770,49
771,49
772,56
773,65
774,60
775,55
776,51
777,48
778,46
779,44
780,45
781,44
782,44
783,43
784,43
785,44
786,44
787,43
788,44
789,46
790,47
791,46
792,45
793,44
794,43
795,44
796,45
797,46
798,45
799,46
800,48
801,46
802,45
803,51
804,56
805,53
806,49
807,47
808,46
809,45
810,44
811,44
812,45
813,46
814,50
815,53
816,49
817,47
818,46
819,45
820,46
821,45
822,44
823,43
824,42
825,45
826,44
827,45
828,47
829,49
830,48
831,46
832,45
833,45
834,44
835,44
836,43
837,43
838,44
839,44
840,45
841,46
842,47
843,48
844,46
845,45
846,44
847,44
848,46
849,47
850,49
851,48
852,47
853,48
854,47
855,45
856,44
857,43
858,45
859,44
860,45
861,45
862,45
863,46
864,47
865,46
866,45
867,44
868,43
869,44
870,45
871,45
872,44
873,44
874,45
875,44
876,44
877,44
878,45
879,46
880,48
881,52
882,51
883,50
884,49
885,47
886,45
887,44
888,44
889,44
890,44
891,44
892,47
893,45
894,44
895,46
896,45
897,44
898,44
899,44
900,45
901,44
902,43
903,44
904,44
905,45
906,44
907,45
908,46
909,45
910,44
911,44
912,45
913,44
914,43
915,44
916,45
917,46
918,45
919,45
920,44
921,45
922,44
923,45
924,45
925,44
926,45
927,44
928,43
929,44
930,45
931,44
932,44
933,44
934,43
935,43
936,44
937,45
938,44
939,43
940,44
941,43
942,43
943,43
944,44
945,44
946,44
947,43
948,44
949,45
950,44
951,44
952,44
953,43
954,43
955,42
956,42
957,44
958,44
959,43
960,44
961,43
962,44
963,45
964,46
965,48
966,49
967,47
968,45
969,44
970,43
971,43
972,42
973,41
974,42
975,43
976,43
977,42
978,42
979,42
980,43
981,42
982,42
983,43
984,43
985,43
986,43
987,43
988,42
989,43
990,43
991,43
992,42
993,42
994,43
995,44
996,43
997,44
998,43
999,42
1000,43
1001,44
1002,43
1003,43
1004,43
1005,42
1006,42
1007,43
1008,44
1009,43
1010,42
1011,42
1012,42
1013,43
1014,42
1015,43
1016,43
1017,43
1018,43
1019,42
1020,42
1021,42
1022,43
1023,43
1024,43
1025,44
1026,43
1027,44
1028,43
1029,43
1030,42
1031,43
1032,43
1033,42
1034,43
1035,43
1036,44
1037,43
1038,42
1039,42
1040,42
1041,43
1042,43
1043,42
1044,43
1045,44
1046,43
1047,44
1048,43
1049,42
1050,42
1051,42
1052,43
1053,42
1054,43
1055,42
1056,42
1057,42
1058,42
1059,42
1060,42
1061,42
1062,41
1063,42
1064,43
1065,42
1066,43
1067,42
1068,42
1069,42
1070,42
1071,41
1072,42
1073,43
1074,44
1075,43
1076,44
1077,45
1078,44
1079,43
1080,42
1081,43
1082,43
1083,43
1084,42
1085,43
1086,43
1087,42
1088,43
1089,43
1090,42
1091,42
1092,42
1093,42
1094,44
1095,49
1096,49
1097,47
1098,46
1099,45
1100,43
1101,43
1102,42
1103,41
1104,42
1105,43
1106,44
1107,43
1108,42
1109,43
1110,44
1111,43
1112,42
1113,42
1114,41
1115,41
1116,42
1117,44
1118,44
1119,44
1120,43
1121,42
1122,42
1123,42
1124,42
1125,43
1126,44
1127,43
1128,43
1129,42
1130,43
1131,43
1132,42
1133,42
1134,42
1135,42
1136,42
1137,43
1138,42
1139,43
1140,42
1141,42
1142,41
1143,41
1144,43
1145,43
1146,42
1147,42
1148,43
1149,43
1150,42
1151,43
1152,43
1153,43
1154,42
1155,42
1156,42
1157,42
1158,43
1159,42
1160,43
1161,43
1162,45
1163,48
1164,50
1165,54
1166,56
1167,55
1168,50
1169,46
1170,45
1171,44
1172,44
1173,44
1174,43
1175,44
1176,46
1177,45
1178,44
1179,43
1180,43
1181,45
1182,47
1183,49
1184,48
1185,45
1186,44
1187,43
1188,43
1189,42
1190,45
1191,47
1192,48
1193,47
1194,45
1195,44
1196,44
1197,43
1198,43
1199,42
1200,43
1201,44
1202,44
1203,45
1204,46
1205,56
1206,57
1207,53
1208,50
1209,46
1210,44
1211,44
1212,43
1213,43
1214,44
1215,43
1216,42
1217,43
1218,44
1219,45
1220,47
1221,45
1222,44
1223,43
1224,42
1225,43
1226,43
1227,43
1228,44
1229,46
1230,45
1231,44
1232,44
1233,43
1234,43
1235,44
1236,45
1237,44
1238,43
1239,42
1240,41
1241,42
1242,44
1243,43
1244,42
1245,43
1246,42
1247,44
1248,43
1249,44
1250,43
1251,43
1252,42
1253,43
1254,43
1255,42
1256,43
1257,44
1258,43
1259,44
1260,45
1261,47
1262,48
1263,46
1264,45
1265,44
1266,43
1267,43
1268,44
1269,45
1270,47
1271,50
1272,47
1273,48
1274,52
1275,55
1276,52
1277,51
1278,49
1279,45
1280,44
1281,43
1282,43
1283,42
1284,42
1285,43
1286,45
1287,44
1288,43
1289,42
1290,43
1291,44
1292,43
1293,44
1294,45
1295,46
1296,45
1297,44
1298,46
1299,48
1300,50
1301,48
1302,46
1303,44
1304,44
1305,45
1306,44
1307,43
1308,43
1309,44
1310,44
1311,43
1312,44
1313,47
1314,48
1315,49
1316,53
1317,52
1318,50
1319,48
1320,47
1321,47
1322,49
1323,48
1324,47
1325,46
1326,43
1327,43
1328,44
1329,45
1330,46
1331,45
1332,44
1333,45
1334,46
1335,46
1336,46
1337,46
1338,48
1339,46
1340,44
1341,44
1342,43
1343,42
1344,43
1345,45
1346,44
1347,44
1348,44
1349,43
1350,44
1351,45
1352,44
1353,45
1354,46
1355,48
1356,47
1357,45
1358,44
1359,44
1360,45
1361,46
1362,48
1363,49
1364,48
1365,46
1366,44
1367,43
1368,43
1369,45
1370,46
1371,45
1372,44
1373,45
1374,48
1375,49
1376,48
1377,47
1378,46
1379,45
1380,44
1381,44
1382,47
1383,47
1384,45
1385,44
1386,44
1387,45
1388,45
1389,45
1390,46
1391,48
1392,52
1393,50
1394,47
1395,46
1396,44
1397,45
1398,46
1399,47
1400,45
1401,44
1402,43
1403,43
1404,46
1405,47
1406,46
1407,48
1408,56
1409,49
1410,46
1411,46
1412,45
1413,44
1414,45
1415,46
1416,45
1417,44
1418,43
1419,43
1420,45
1421,44
1422,43
1423,43
1424,43
1425,43
1426,42
1427,42
1428,42
1429,42
1430,44
1431,45
1432,45
1433,43
1434,43
1435,42
1436,43
1437,43
1438,44
1439,43
1440,45
1441,46
1442,45
1443,46
1444,45
1445,44
1446,46
1447,47
1448,53
1449,61
1450,57
1451,52
1452,51
1453,50
1454,48
1455,47
1456,46
1457,45
1458,44
1459,43
1460,43
1461,44
1462,45
1463,44
1464,45
1465,44
1466,44
1467,43
1468,42
1469,41
1470,41
1471,41
1472,41
1473,41
1474,44
1475,45
1476,46
1477,46
1478,44
1479,44
1480,53
1481,51
1482,48
1483,46
1484,45
1485,44
1486,43
1487,42
1488,42
1489,43
1490,43
1491,42
1492,41
1493,41
1494,42
1495,43
1496,44
1497,43
1498,43
1499,44
1500,45
1501,44
1502,45
1503,44
1504,43
1505,43
1506,44
1507,45
1508,44
1509,43
1510,45
1511,46
1512,45
1513,44
1514,43
1515,44
1516,43
1517,44
1518,43
1519,42
1520,44
1521,45
1522,44
1523,46
1524,47
1525,46
1526,45
1527,44
1528,43
1529,44
1530,45
1531,43
1532,44
1533,45
1534,44
1535,43
1536,42
1537,43
1538,44
1539,45
1540,44
1541,44
1542,43
1543,44
1544,46
1545,45
1546,44
1547,43
1548,42
1549,42
1550,44
1551,45
1552,46
1553,47
1554,46
1555,44
1556,43
1557,42
1558,42
1559,43
1560,44
1561,44
1562,43
1563,42
1564,43
1565,44
1566,43
1567,43
1568,44
1569,45
1570,45
1571,44
1572,43
1573,46
1574,47
1575,44
1576,43
1577,42
1578,43
1579,42
1580,42
1581,43
1582,42
1583,44
1584,45
1585,44
1586,43
1587,42
1588,42
1589,42
1590,41
1591,41
1592,42
1593,43
1594,45
1595,46
1596,45
1597,44
1598,43
1599,42
1600,43
1601,44
1602,45
1603,44
1604,45
1605,49
1606,48
1607,46
1608,45
1609,44
1610,43
1611,43
1612,43
1613,42
1614,43
1615,43
1616,42
1617,42
1618,44
1619,43
1620,43
1621,42
1622,43
1623,43
1624,42
1625,42
1626,43
1627,42
1628,42
1629,42
1630,42
1631,42
1632,42
1633,41
1634,42
1635,42
1636,43
1637,42
1638,43
1639,42
1640,42
1641,43
1642,43
1643,42
1644,42
1645,43
1646,43
1647,43
1648,42
1649,42
1650,41
1651,42
1652,43
1653,42
1654,42
1655,42
1656,41
1657,41
1658,42
1659,42
1660,42
1661,42
1662,42
1663,42
1664,41
1665,41
1666,41
1667,41
1668,42
1669,42
1670,42
1671,41
1672,42
1673,42
1674,42
1675,41
1676,41
1677,41
1678,41
1679,41
1680,42
1681,42
1682,43
1683,43
1684,43
1685,42
1686,41
1687,41
1688,41
1689,40
1690,40
1691,40
1692,40
1693,40
1694,40
1695,40
1696,39
1697,39
1698,40
1699,40
1700,39
1701,39
1702,40
1703,40
1704,40
1705,40
1706,40
1707,40
1708,40
1709,42
1710,42
1711,41
1712,42
1713,42
1714,41
1715,41
1716,40
1717,40
1718,40
1719,40
1720,40
1721,40
1722,50
1723,63
1724,62
1725,56
1726,54
1727,49
1728,48
1729,49
1730,49
1731,48
1732,47
1733,46
1734,45
1735,43
1736,43
1737,42
1738,42
1739,41
1740,41
1741,41
1742,40
1743,40
1744,40
1745,40
1746,40
1747,40
1748,40
1749,42
1750,44
1751,43
1752,43
1753,42
1754,42
1755,41
1756,41
1757,41
1758,40
1759,40
1760,40
1761,39
1762,39
1763,40
1764,41
1765,42
1766,42
1767,42
1768,55
1769,56
1770,53
1771,49
1772,48
1773,47
1774,46
1775,44
1776,43
1777,42
1778,42
1779,41
1780,41
1781,40
1782,40
1783,40
1784,40
1785,40
1786,41
1787,41
1788,41
1789,41
1790,41
1791,40
1792,40
1793,40
1794,40
1795,40
1796,40
1797,39
1798,41
1799,41
1800,41
1801,41
1802,40
1803,41
1804,41
1805,41
1806,41
1807,40
1808,41
1809,42
1810,42
1811,41
1812,41
1813,41
1814,41
1815,42
1816,42
1817,42
1818,41
1819,41
1820,40
1821,40
1822,40
1823,41
1824,42
1825,42
1826,41
1827,41
1828,41
1829,40
1830,41
1831,42
1832,41
1833,41
1834,41
1835,40
1836,40
1837,40
1838,39
1839,39
1840,42
1841,41
1842,41
1843,40
1844,43
1845,44
1846,53
1847,64
1848,66
1849,67
1850,67
1851,66
1852,64
1853,61
1854,61
1855,60
1856,58
1857,56
1858,52
1859,51
1860,50
1861,49
1862,48
1863,47
1864,46
1865,45
1866,43
1867,43
1868,42
1869,42
1870,42
1871,41
1872,42
1873,42
1874,41
1875,42
1876,42
1877,43
1878,42
1879,42
1880,41
1881,42
1882,41
1883,41
1884,41
1885,41
1886,44
1887,45
1888,44
1889,43
1890,44
1891,45
1892,44
1893,43
1894,41
1895,42
1896,43
1897,42
1898,42
1899,41
1900,41
1901,41
1902,42
1903,43
1904,42
1905,43
1906,43
1907,42
1908,42
1909,41
1910,42
1911,42
1912,41
1913,41
1914,42
1915,43
1916,42
1917,42
1918,41
1919,43
1920,44
1921,43
1922,43
1923,42
1924,42
1925,41
1926,42
1927,42
1928,42
1929,43
1930,42
1931,43
1932,43
1933,42
1934,44
1935,47
1936,63
1937,66
1938,63
1939,56
1940,49
1941,48
1942,47
1943,46
1944,44
1945,43
1946,43
1947,42
1948,42
1949,41
1950,41
1951,42
1952,43
1953,43
1954,42
1955,42
1956,41
1957,41
1958,41
1959,41
1960,40
1961,40
1962,41
1963,42
1964,41
1965,41
1966,40
1967,40
1968,41
1969,41
1970,41
1971,44
1972,45
1973,44
1974,44
1975,43
1976,43
1977,42
1978,42
1979,42
1980,41
1981,41
1982,42
1983,43
1984,42
1985,42
1986,41
1987,41
1988,40
1989,40
1990,40
1991,39
1992,39
1993,39
1994,39
1995,41
1996,42
1997,41
1998,41
1999,41
2000,41
2001,41
2002,41
2003,40
2004,41
2005,40
2006,40
2007,40
2008,40
2009,39
2010,40
2011,40
2012,41
2013,42
2014,41
2015,41
2016,45
2017,46
2018,46
2019,45
2020,43
2021,42
2022,42
2023,43
2024,44
2025,43
2026,43
2027,42
2028,42
2029,42
2030,43
2031,43
2032,44
2033,45
2034,45
2035,52
2036,60
2037,61
2038,65
2039,64
2040,59
2041,59
2042,57
2043,55
2044,53
2045,52
2046,51
2047,50
2048,50
2049,51
2050,65
2051,63
2052,62
2053,60
2054,59
2055,58
2056,57
2057,54
2058,53
2059,54
2060,53
2061,51
2062,49
2063,48
2064,47
2065,46
2066,45
2067,44
2068,44
2069,46
2070,53
2071,54
2072,54
2073,51
2074,50
2075,49
2076,49
2077,49
2078,65
2079,73
2080,73
2081,69
2082,66
2083,64
2084,62
2085,60
2086,56
2087,55
2088,60
2089,65
2090,60
2091,59
2092,60
2093,61
2094,59
2095,62
2096,67
2097,67
2098,68
2099,63
2100,56
2101,57
2102,59
2103,59
2104,59
2105,58
2106,57
2107,59
2108,63
2109,62
2110,63
2111,66
2112,64
2113,63
2114,66
2115,78
2116,78
2117,83
2118,88
2119,85
2120,80
2121,76
2122,76
2123,76
2124,76
2125,77
2126,77
2127,78
2128,77
2129,77
2130,77
2131,76
2132,78
2133,79
2134,79
2135,79
2136,79
2137,78
2138,77
2139,74
2140,70
2141,69
2142,68
2143,67
2144,66
2145,67
2146,65
2147,64
2148,62
2149,61
2150,60
2151,61
2152,63
2153,63
2154,70
2155,68
2156,67
2157,70
2158,71
2159,73
2160,74
2161,74
2162,75
2163,73
2164,72
2165,73
2166,74
2167,76
2168,77
2169,76
2170,75
2171,75
2172,76
2173,75
2174,77
2175,77
2176,77
2177,75
2178,74
2179,73
2180,72
2181,71
2182,73
2183,72
2184,71
2185,70
2186,69
2187,69
2188,70
2189,71
2190,75
2191,79
2192,83
2193,83
2194,83
2195,80
2196,78
2197,77
2198,74
2199,76
2200,76
2201,75
2202,77
2203,76
2204,71
2205,64
2206,63
2207,64
2208,65
2209,66
2210,68
2211,72
2212,73
2213,74
2214,74
2215,73
2216,73
2217,72
2218,77
2219,79
2220,79
2221,81
2222,80
2223,80
2224,79
2225,78
2226,79
2227,78
2228,77
2229,75
2230,73
2231,72
2232,71
2233,66
2234,64
2235,65
2236,64
2237,62
2238,61
2239,58
2240,57
2241,58
2242,58
2243,58
2244,59
2245,58
2246,59
2247,61
2248,62
2249,63
2250,62
2251,61
2252,62
2253,61
2254,60
2255,61
2256,62
2257,61
2258,60
2259,61
2260,59
2261,57
2262,59
2263,60
2264,61
2265,62
2266,63
2267,64
2268,65
2269,64
2270,63
2271,60
2272,56
2273,57
2274,56
2275,57
2276,58
2277,59
2278,58
2279,57
2280,57
2281,56
2282,57
2283,59
2284,60
2285,61
2286,61
2287,61
2288,62
2289,63
2290,62
2291,63
2292,62
2293,63
2294,64
2295,62
2296,62
2297,62
2298,63
2299,64
2300,64
2301,64
2302,65
2303,66
2304,67
2305,68
2306,71
2307,75
2308,80
2309,83
2310,86
2311,87
2312,86
2313,86
2314,83
2315,83
2316,84
2317,86
2318,87
2319,90
2320,91
2321,87
2322,89
2323,92
2324,97
2325,102
2326,103
2327,104
2328,106
2329,107
2330,106
2331,108
2332,113
2333,117
2334,122
2335,125
2336,125
2337,122
2338,120
2339,114
2340,108
2341,108
2342,107
2343,108
2344,107
2345,102
2346,101
2347,103
2348,102
2349,109
2350,109
2351,87
2352,88
2353,89
2354,98
2355,99
2356,100
2357,101
2358,100
2359,101
2360,102
2361,103
2362,104
2363,102
2364,103
2365,104
2366,105
2367,108
2368,109
2369,110
2370,111
2371,119
2372,120
2373,121
2374,122
2375,127
2376,128
2377,129
2378,126
2379,127
2380,128
2381,129
2382,130
2383,131
2384,128
2385,129
2386,130
2387,130
2388,131
2389,132
2390,133
2391,134
2392,135
2393,136
2394,135
2395,136
2396,136
2397,136
2398,137
2399,139
2400,139
2401,140
2402,138
2403,138
2404,139
2405,139
2406,140
2407,140
2408,140
2409,140
2410,138
2411,138
2412,135
2413,135
2414,134
2415,134
2416,138
2417,139
2418,139
2419,139
2420,140
2421,140
2422,138
2423,138
2424,140
2425,140
2426,140
2427,140
2428,138
2429,139
2430,141
2431,141
2432,140
2433,140
2434,140
2435,140
2436,141
2437,141
2438,140
2439,140
2440,140
2441,140
2442,142
2443,142
2444,140
2445,140
2446,137
2447,137
2448,138
2449,139
2450,145
2451,145
2452,145
2453,146
2454,145
2455,145
2456,144
2457,144
2458,141
2459,141
2460,141
2461,141
2462,138
2463,137
2464,136
2465,136
2466,135
2467,135
2468,135
2469,135
2470,137
2471,138
2472,142
2473,142
2474,145
2475,145
2476,145
2477,145
2478,146
2479,146
2480,146
2481,145
2482,145
2483,145
2484,145
2485,146
2486,146
2487,146
2488,146
2489,146
2490,144
2491,144
2492,145
2493,145
2494,139
2495,139
2496,140
2497,140
2498,138
2499,138
2500,137
2501,137
2502,137
2503,137
2504,138
2505,138
2506,138
2507,138
2508,136
2509,136
2510,137
2511,137
2512,138
2513,138
2514,147
2515,147
2516,144
2517,144
2518,143
2519,143
2520,147
2521,147
2522,141
2523,141
2524,143
2525,143
2526,147
2527,147
2528,146
2529,146
2530,143
2531,143
2532,145
2533,145
2534,145
2535,155
2536,155
2537,158
2538,158
2539,160
2540,160
2541,160
2542,160
2543,158
2544,158
2545,154
2546,154
2547,157
2548,157
2549,154
2550,154
2551,154
2552,154
2553,152
2554,152
2555,152
2556,152
2557,151
2558,151
2559,151
2560,152
2561,152
2562,153
2563,153
2564,153
2565,153
2566,157
2567,157
2568,159
2569,159
2570,158
2571,158
2572,158
2573,158
2574,157
2575,157
2576,157
2577,157
2578,156
2579,156
2580,155
2581,155
2582,153
2583,153
2584,153
2585,153
2586,153
2587,153
2588,152
2589,152
2590,152
2591,152
2592,156
2593,156
2594,154
2595,154
2596,153
2597,153
2598,154
2599,154
2600,154
2601,154
2602,152
2603,152
2604,155
2605,155
2606,154
2607,154
2608,153
2609,153
2610,151
2611,152
2612,153
2613,151
2614,145
2615,142
2616,137
2617,131
2618,129
2619,125
2620,124
2621,122
2622,120
2623,119
2624,117
2625,115
2626,110
2627,107
2628,104
2629,105
2630,104
2631,108
2632,113
2633,112
2634,108
2635,107
2636,101
2637,97
2638,92
2639,90
2640,88
2641,86
2642,89
2643,86
2644,84
2645,83
2646,82
2647,83
2648,85
2649,87
2650,88
2651,87
2652,84
2653,83
2654,81
2655,78
2656,76
2657,77
2658,77
2659,76
2660,77
2661,78
2662,77
2663,76
2664,77
2665,77
2666,78
2667,76
2668,78
2669,79
2670,80
2671,81
2672,81
2673,81
2674,81
2675,81
2676,85
2677,91
2678,94
2679,96
2680,97
2681,98
2682,98
2683,97
2684,96
2685,97
2686,100
2687,102
2688,103
2689,103
2690,102
2691,103
2692,101
2693,100
2694,100
2695,101
2696,101
2697,100
2698,101
2699,101
2700,101
2701,100
2702,98
2703,99
2704,99
2705,98
2706,97
2707,96
2708,98
2709,99
2710,100
2711,100
2712,101
2713,100
2714,102
2715,106
2716,108
2717,109
2718,107
2719,107
2720,106
2721,105
2722,107
2723,108
2724,110
2725,110
2726,108
2727,106
2728,104
2729,103
2730,101
2731,102
2732,103
2733,102
2734,103
2735,101
2736,99
2737,98
2738,97
2739,95
2740,97
2741,99
2742,106
2743,111
2744,117
2745,116
2746,113
2747,109
2748,110
2749,112
2750,114
2751,113
2752,108
2753,103
2754,104
2755,105
2756,104
2757,110
2758,115
2759,117
2760,116
2761,113
2762,110
2763,107
2764,106
2765,108
2766,115
2767,116
2768,120
2769,121
2770,120
2771,121
2772,119
2773,119
2774,120
2775,117
2776,115
2777,114
2778,115
2779,113
2780,111
2781,108
2782,105
2783,104
2784,104
2785,103
2786,102
2787,103
2788,105
2789,106
2790,106
2791,106
2792,106
2793,107
2794,109
2795,110
2796,110
2797,111
2798,113
2799,114
2800,114
2801,113
2802,114
2803,115
2804,116
2805,117
2806,118
2807,119
2808,120
2809,121
2810,122
2811,122
2812,122
2813,122
2814,122
2815,121
2816,119
2817,118
2818,119
2819,122
2820,122
2821,121
2822,121
2823,120
2824,119
2825,119
2826,118
2827,117
2828,116
2829,115
2830,114
2831,114
2832,114
2833,113
2834,112
2835,112
2836,113
2837,114
2838,118
2839,117
2840,116
2841,115
2842,115
2843,114
2844,113
2845,113
2846,112
2847,112
2848,112
2849,114
2850,115
2851,116
2852,118
2853,119
2854,119
2855,119
2856,118
2857,118
2858,117
2859,117
2860,116
2861,116
2862,118
2863,120
2864,121
2865,122
2866,124
2867,125
2868,125
2869,125
2870,127
2871,128
2872,129
2873,130
2874,132
2875,133
2876,134
2877,134
2878,134
2879,134
2880,135
2881,136
2882,136
2883,135
2884,134
2885,134
2886,133
2887,133
2888,133
2889,132
2890,131
2891,131
2892,131
2893,130
2894,131
2895,131
2896,130
2897,131
2898,133
2899,135
2900,136
2901,138
2902,140
2903,141
2904,141
2905,141
2906,142
2907,143
2908,144
2909,145
2910,146
2911,147
2912,148
2913,147
2914,146
2915,145
2916,144
2917,143
2918,142
2919,142
2920,142
2921,144
2922,145
2923,146
2924,147
2925,146
2926,145
2927,144
2928,143
2929,142
2930,143
2931,145
2932,146
2933,147
2934,148
2935,149
2936,150
2937,151
2938,152
2939,151
2940,151
2941,151
2942,150
2943,151
2944,151
2945,150
2946,150
2947,149
2948,149
2949,148
2950,147
2951,147
2952,147
2953,148
2954,149
2955,150
2956,151
2957,150
2958,149
2959,149
2960,148
2961,149
2962,150
2963,151
2964,147
2965,144
2966,143
2967,140
2968,141
2969,140
2970,140
2971,141
2972,142
2973,143
2974,142
2975,141
2976,140
2977,139
2978,138
2979,137
2980,136
2981,135
2982,134
2983,133
2984,132
2985,131
2986,132
2987,131
2988,131
2989,131
2990,130
2991,129
2992,128
2993,128
2994,127
2995,127
2996,126
2997,126
