,value,value,value,value,value,value,value,value
145,46.0,60.0,48.0,65.0,67.0,59.0,53.0,55
146,45.0,59.0,48.0,54.0,69.0,58.0,52.0,56
147,46.0,59.0,48.0,53.0,67.0,59.0,51.0,56
148,47.0,59.0,49.0,52.0,64.0,60.0,50.0,57
149,46.0,59.0,48.0,52.0,61.0,61.0,51.0,56
150,47.0,59.0,49.0,53.0,59.0,62.0,52.0,57
151,47.0,60.0,49.0,59.0,58.0,63.0,51.0,58
152,48.0,59.0,48.0,61.0,59.0,64.0,53.0,59
153,47.0,62.0,47.0,60.0,58.0,65.0,53.0,61
154,46.0,65.0,48.0,59.0,59.0,67.0,54.0,62
155,47.0,64.0,48.0,56.0,59.0,68.0,55.0,63
156,46.0,65.0,49.0,59.0,60.0,67.0,56.0,62
157,47.0,67.0,50.0,59.0,60.0,66.0,57.0,63
158,46.0,68.0,50.0,60.0,59.0,65.0,58.0,63
159,45.0,67.0,51.0,62.0,60.0,66.0,59.0,65
160,46.0,66.0,54.0,63.0,60.0,65.0,60.0,66
161,47.0,62.0,68.0,61.0,58.0,64.0,60.0,65
162,47.0,58.0,69.0,61.0,59.0,65.0,60.0,61
163,45.0,59.0,68.0,60.0,60.0,64.0,61.0,60
164,44.0,60.0,67.0,59.0,59.0,62.0,63.0,57
165,43.0,59.0,66.0,60.0,58.0,63.0,64.0,56
166,44.0,58.0,62.0,59.0,57.0,64.0,63.0,58
167,45.0,59.0,55.0,58.0,56.0,63.0,60.0,56
168,46.0,59.0,53.0,59.0,55.0,62.0,58.0,53
169,45.0,60.0,55.0,60.0,56.0,63.0,56.0,52
170,46.0,61.0,52.0,59.0,57.0,62.0,56.0,51
171,46.0,61.0,51.0,60.0,58.0,63.0,57.0,52
172,45.0,60.0,53.0,61.0,59.0,64.0,58.0,54
173,45.0,59.0,51.0,63.0,59.0,63.0,59.0,55
174,46.0,59.0,50.0,62.0,60.0,62.0,58.0,56
175,45.0,60.0,50.0,60.0,61.0,61.0,57.0,58
176,46.0,64.0,50.0,59.0,60.0,62.0,56.0,57
177,45.0,66.0,49.0,59.0,59.0,63.0,55.0,57
178,44.0,65.0,50.0,61.0,58.0,61.0,54.0,56
179,45.0,65.0,51.0,64.0,57.0,60.0,57.0,55
180,46.0,66.0,53.0,66.0,56.0,59.0,54.0,54
181,47.0,67.0,55.0,66.0,57.0,56.0,52.0,55
182,47.0,65.0,52.0,68.0,58.0,57.0,51.0,56
183,48.0,62.0,49.0,62.0,59.0,58.0,50.0,57
184,46.0,56.0,51.0,61.0,57.0,59.0,49.0,58
185,44.0,56.0,49.0,60.0,57.0,60.0,50.0,63
186,43.0,57.0,48.0,59.0,57.0,61.0,52.0,63
187,44.0,57.0,47.0,59.0,56.0,60.0,53.0,63
188,45.0,57.0,48.0,58.0,56.0,59.0,53.0,62
189,46.0,58.0,49.0,60.0,57.0,58.0,54.0,58
190,45.0,60.0,50.0,59.0,58.0,58.0,53.0,60
191,46.0,61.0,49.0,60.0,57.0,59.0,52.0,61
192,46.0,60.0,49.0,59.0,55.0,62.0,53.0,62
193,46.0,57.0,51.0,59.0,56.0,61.0,52.0,63
194,47.0,58.0,52.0,62.0,57.0,60.0,51.0,64
195,46.0,57.0,51.0,61.0,59.0,61.0,49.0,65
196,46.0,58.0,49.0,62.0,60.0,62.0,48.0,67
197,47.0,59.0,48.0,61.0,59.0,63.0,48.0,66
198,46.0,60.0,47.0,58.0,57.0,64.0,54.0,65
199,47.0,60.0,47.0,57.0,55.0,63.0,57.0,64
200,46.0,63.0,49.0,57.0,54.0,63.0,57.0,65
201,47.0,69.0,49.0,57.0,54.0,62.0,57.0,66
202,48.0,68.0,50.0,57.0,58.0,63.0,55.0,68
203,47.0,69.0,52.0,56.0,60.0,64.0,52.0,69
204,47.0,67.0,49.0,58.0,58.0,66.0,48.0,68
205,47.0,65.0,48.0,59.0,56.0,68.0,47.0,66
206,46.0,64.0,49.0,58.0,56.0,66.0,47.0,65
207,47.0,62.0,48.0,59.0,57.0,64.0,48.0,62
208,46.0,61.0,49.0,60.0,58.0,59.0,48.0,60
209,46.0,60.0,50.0,61.0,59.0,57.0,47.0,61
210,47.0,56.0,48.0,62.0,59.0,57.0,46.0,60
211,47.0,57.0,49.0,63.0,59.0,58.0,47.0,59
212,48.0,59.0,49.0,62.0,59.0,59.0,47.0,57
213,47.0,59.0,50.0,63.0,58.0,60.0,47.0,56
214,46.0,61.0,51.0,65.0,59.0,62.0,48.0,55
215,46.0,61.0,51.0,66.0,58.0,66.0,49.0,55
216,45.0,63.0,50.0,68.0,57.0,69.0,48.0,56
217,46.0,63.0,49.0,67.0,56.0,72.0,47.0,61
218,47.0,64.0,48.0,68.0,55.0,74.0,46.0,62
219,47.0,63.0,49.0,67.0,56.0,76.0,47.0,59
220,48.0,62.0,50.0,59.0,56.0,78.0,48.0,57
221,47.0,61.0,49.0,56.0,55.0,77.0,47.0,58
222,46.0,58.0,48.0,56.0,56.0,76.0,47.0,57
223,47.0,55.0,47.0,55.0,58.0,72.0,50.0,55
224,47.0,55.0,49.0,54.0,59.0,69.0,49.0,56
225,47.0,56.0,50.0,55.0,58.0,67.0,48.0,56
226,46.0,57.0,49.0,56.0,56.0,62.0,47.0,56
227,47.0,57.0,50.0,57.0,55.0,61.0,46.0,56
228,46.0,56.0,50.0,58.0,56.0,60.0,47.0,57
229,46.0,57.0,49.0,57.0,57.0,58.0,46.0,58
230,46.0,58.0,50.0,57.0,55.0,59.0,47.0,57
231,47.0,60.0,51.0,57.0,54.0,59.0,46.0,58
232,47.0,60.0,49.0,58.0,53.0,61.0,46.0,57
233,47.0,61.0,50.0,57.0,54.0,59.0,45.0,55
234,46.0,60.0,49.0,58.0,55.0,54.0,45.0,53
235,46.0,59.0,50.0,60.0,56.0,59.0,46.0,52
236,47.0,61.0,48.0,62.0,57.0,60.0,47.0,53
237,47.0,62.0,49.0,61.0,58.0,56.0,48.0,54
238,46.0,64.0,49.0,56.0,59.0,61.0,52.0,55
239,46.0,64.0,50.0,55.0,57.0,58.0,56.0,57
240,47.0,63.0,50.0,54.0,57.0,54.0,54.0,57
241,46.0,61.0,51.0,54.0,58.0,53.0,51.0,58
242,45.0,56.0,51.0,56.0,59.0,52.0,50.0,59
243,48.0,56.0,52.0,55.0,58.0,50.0,49.0,60
244,46.0,57.0,52.0,56.0,57.0,49.0,48.0,61
245,44.0,57.0,51.0,55.0,56.0,49.0,47.0,60
246,45.0,56.0,50.0,54.0,55.0,50.0,46.0,58
247,46.0,57.0,49.0,53.0,57.0,51.0,46.0,58
